id,area,bathrooms,bedrooms,condo_fee,parking_spots,attached_rooms,type,lat,lon,year_built,overall_condition,has_elevator,leasures_available,price
4449,55,1,1,415,1,0,apartment,-5.8032096,-35.2002054,2007,Score 7,yes,SPORTS COURT,280000
354,98,2,3,0,2,1,apartment,-5.8855448,-35.1775819,,Score 6,nop,,290000
3311,144,4,3,0,0,0,house,-5.8666079,-35.2088062,1968,Score 4,yes,,630000
2680,180,2,3,0,1,2,house,-5.8576398,-35.2014489,1975,Score 4,Yes,,270000
478,100,1,3,470,2,1,apartment,-5.8576398,-35.2014489,,Score 5,nop,"pool,PLAYGROUND",435000
4261,320,6,4,650,2,3,house,-5.8462968,-35.2195537,2002,Score 4,yes,"POOL,BARBECUE SPACE,playground",639000
2242,56,2,2,199,1,1,apartment,-5.8796695,-35.1973555,2006,Score 5,Yes,,190000
3382,87,3,3,0,2,1,apartment,-5.8431967,-35.2124468,,Score 5,y,,369900
2602,75,1,3,590,2,1,apartment,-5.8603397,-35.2094385,,Score 5,y,"POOL,BARBECUE SPACE,playground,sports court",245000
2581,56,1,2,450,1,1,apartment,-5.8821365,-35.1722172,1999,Score 6,Yes,,320000
3114,160,4,4,500,3,3,apartment,-5.8164277,-35.2116397,1997,Score 6,no,BARBECUE SPACE,723500
1108,89,3,3,480,2,1,apartment,-5.8768735,-35.2236066,1973,Score 5,y,"POOL,playground",320000
8,108,2,4,0,2,2,apartment,-5.8576398,-35.2014489,2005,Score 5,Yes,,499900
23,170,3,3,890,2,1,apartment,-5.7816923,-35.1973759,1998,Score 5,nop,"pool,BARBECUE SPACE",485000
1175,59,1,2,0,1,1,apartment,-5.8821365,-35.1722172,1967,Score 7,y,,259900
1952,140,4,3,700,3,3,apartment,-5.7982846,-35.1978866,2004,Score 5,y,,640000
1293,114,1,3,0,1,1,house,-5.8317785,-35.2122915,,Score 4,y,BARBECUE SPACE,240000
1957,57,1,2,590,1,1,apartment,-5.8730875,-35.1800373,2003,Score 6,No,"barbecue space,playground,SPORTS COURT",350000
3259,89,1,3,150,1,0,apartment,-5.8603397,-35.2094385,1999,Score 5,no,,180000
544,102,2,3,0,3,2,apartment,-5.7978488,-35.2092207,1991,Score 6,y,,549721
584,136,5,4,800,3,3,apartment,-5.800734,-35.1970047,,Score 7,y,"POOL,barbecue space,GYM,playground",619000
3917,75,1,2,500,1,0,apartment,-5.799543,-35.2056069,,Score 4,Yes,"PLAYGROUND,SPORTS COURT",130000
1482,58,1,2,0,2,1,apartment,-5.7845495,-35.1984438,2002,Score 2,no,barbecue space,250000
387,56,2,2,320,1,1,apartment,-5.7921127,-35.1960671,2002,Score 5,yes,playground,260000
1788,57,1,2,280,0,1,apartment,-5.8209603,-35.2182387,,Score 7,Yes,"barbecue space,PLAYGROUND,sports court",240000
4473,186,3,3,1000,0,3,apartment,-5.8437235,-35.2214483,,Score 4,yes,"barbecue space,sports court",599990
1335,94,3,3,0,2,1,apartment,-5.820507,-35.2164801,,Score 5,Yes,,450000
561,110,2,3,745,2,1,apartment,-5.8821365,-35.1722172,2006,Score 5,No,"pool,SPORTS COURT",400000
4088,58,1,2,0,2,1,apartment,-5.7767142,-35.2062156,1968,Score 4,Yes,,280000
4427,158,4,4,1331,2,2,apartment,-5.8032096,-35.2002054,2005,Score 6,nop,"POOL,BARBECUE SPACE,GYM,playground",410000
4056,56,1,2,320,1,0,apartment,-5.8821365,-35.1722172,2003,Score 4,y,"BARBECUE SPACE,PLAYGROUND",190000
1926,67,1,3,0,2,1,apartment,-5.8821365,-35.1722172,,Score 6,Yes,,330000
944,252,3,3,0,2,2,other,-5.7823372,-35.1946781,2001,Score 5,y,,900000
2830,55,2,2,310,1,1,apartment,-5.8841734,-35.1783162,1964,Score 6,yes,playground,230000
4697,82,2,3,373,2,1,apartment,-5.7978488,-35.2092207,,Score 3,no,"pool,barbecue space,PLAYGROUND",465700
2663,93,1,2,0,2,1,apartment,-5.7884831,-35.201471,1977,Score 5,Yes,,165000
1554,45,1,1,0,1,1,apartment,-5.8821365,-35.1722172,1999,Score 7,Yes,,215000
4237,118,4,3,0,2,2,apartment,-5.781494,-35.1998741,1992,Score 5,nop,,580000
1867,45,1,2,0,1,0,apartment,-5.7372347,-35.2360433,1992,Score 5,nop,,136000
3248,57,2,2,300,2,1,apartment,-5.8686163,-35.2305498,,Score 5,y,"PLAYGROUND,sports court",180000
65,126,2,3,450,2,1,other,-5.8730875,-35.1800373,,Score 7,y,"pool,playground,SPORTS COURT",450000
1752,90,2,2,630,1,1,apartment,-5.808338,-35.2051046,,Score 5,yes,gym,249000
756,205,3,3,1400,3,3,apartment,-5.8005515,-35.1986193,,Score 6,No,"barbecue space,GYM,playground,sports court",650000
3008,89,2,3,500,0,0,apartment,-5.8032096,-35.2002054,1958,Score 5,yes,"BARBECUE SPACE,playground,sports court",470000
3256,131,3,3,0,0,1,house,-5.8414359,-35.2154147,1968,Score 5,Yes,,349000
1779,80,1,3,0,2,1,apartment,-5.8069157,-35.216795,1963,Score 5,yes,BARBECUE SPACE,399000
3447,56,2,2,0,2,1,apartment,-5.8237538,-35.2125088,,Score 4,yes,,253000
2325,68,1,2,200,1,0,apartment,-5.7476322,-35.2403032,,Score 5,y,,120000
248,141,2,3,0,2,1,apartment,-5.8107808,-35.2108587,1977,Score 4,yes,,370000
841,58,2,2,240,1,1,apartment,-5.8686163,-35.2305498,1977,Score 4,y,playground,170000
3835,76,1,2,380,2,1,apartment,-5.7978488,-35.2092207,,Score 6,no,PLAYGROUND,428900
3728,58,2,2,350,1,1,apartment,-5.8053683,-35.2050354,2002,Score 7,no,"PLAYGROUND,sports court",280000
4365,100,1,3,165,1,0,apartment,-5.8437235,-35.2214483,2002,Score 6,Yes,pool,190000
2290,56,1,2,325,1,1,apartment,-5.8191711,-35.2126895,,Score 5,y,"BARBECUE SPACE,PLAYGROUND,sports court",240000
1936,54,2,2,0,1,0,apartment,-5.8799135,-35.1998728,2006,Score 4,no,,190000
596,80,1,3,300,1,1,apartment,-5.8437235,-35.2214483,2003,Score 9,no,PLAYGROUND,230000
4244,168,2,3,0,2,1,house,-5.8613713,-35.2096731,2001,Score 4,Yes,,300000
2692,58,1,2,420,1,1,apartment,-5.7990501,-35.1984015,,Score 2,Yes,PLAYGROUND,240000
3607,50,1,2,420,1,0,apartment,-5.7869014,-35.1902633,2003,Score 6,Yes,"POOL,BARBECUE SPACE,PLAYGROUND",170000
4768,103,3,3,373,3,1,apartment,-5.7978488,-35.2092207,1999,Score 6,nop,PLAYGROUND,591500
1128,412,3,,,,3,house,-5.8437235,-35.2214483,,Score 5,yes,,1400000
4594,108,1,2,540,2,1,apartment,-5.8152068,-35.2147971,2000,Score 5,y,"GYM,PLAYGROUND,SPORTS COURT",450000
1073,56,2,2,0,2,1,apartment,-5.8163039,-35.2204887,1972,Score 4,nop,,240000
4308,106,1,3,0,2,1,apartment,-5.8576398,-35.2014489,1995,Score 5,Yes,,400000
2905,89,3,2,332,2,1,apartment,-5.8284015,-35.2200481,,Score 5,yes,"BARBECUE SPACE,PLAYGROUND,SPORTS COURT",180000
3480,53,2,2,0,1,1,apartment,-5.8821365,-35.1722172,2005,Score 5,Yes,,260000
4300,56,2,2,350,1,1,apartment,-5.8135637,-35.225055,1998,Score 4,no,,147000
3822,55,2,2,350,1,1,apartment,-5.8198444,-35.2109804,,Score 5,Yes,PLAYGROUND,195000
426,54,1,2,0,1,1,apartment,-5.8437235,-35.2214483,1992,Score 5,y,barbecue space,187000
683,38,1,1,1154,1,1,apartment,-5.8784962,-35.1752621,2005,Score 4,No,PLAYGROUND,200000
4686,36,1,2,325,0,0,apartment,-5.8821365,-35.1722172,1991,Score 4,y,"barbecue space,PLAYGROUND",170000
4075,98,2,3,650,2,2,apartment,-5.8576398,-35.2014489,1972,Score 6,yes,"gym,PLAYGROUND,sports court",390000
2534,100,2,3,0,2,2,apartment,-5.8730875,-35.1800373,,Score 4,Yes,,550000
1738,58,2,2,0,2,1,apartment,-5.8196922,-35.2169549,2001,Score 5,nop,,280000
567,109,4,3,0,2,2,apartment,-5.8290987,-35.221223,,Score 5,nop,,470000
415,54,2,2,320,1,1,apartment,-5.8163039,-35.2204887,2005,Score 5,yes,"BARBECUE SPACE,playground",235000
3967,90,1,3,0,2,0,house,-5.8657556,-35.2359391,,Score 5,y,pool,160000
911,108,3,3,620,2,2,apartment,-5.7957337,-35.207567,2004,Score 5,No,"gym,SPORTS COURT",279999
4706,72,1,3,380,1,1,apartment,-5.8292546,-35.193081,1989,Score 4,no,"POOL,PLAYGROUND,sports court",140000
1115,45,1,1,650,1,1,other,-5.87821725,-35.17581,,Score 5,y,barbecue space,140000
497,55,2,2,600,2,2,apartment,-5.7869014,-35.1902633,1990,Score 5,no,"BARBECUE SPACE,GYM,playground",370000
2788,55,2,2,0,1,1,apartment,-5.8502894,-35.2166072,1988,Score 4,Yes,,220000
4713,57,2,2,0,1,1,apartment,-5.8796695,-35.1973555,,Score 5,y,,170000
505,57,2,2,350,2,1,apartment,-5.8686163,-35.2305498,1992,Score 6,yes,barbecue space,180000
3470,56,1,2,383,1,0,apartment,-5.8187773,-35.2166551,1972,Score 4,Yes,"BARBECUE SPACE,PLAYGROUND,SPORTS COURT",250000
414,30,1,1,650,1,0,other,-5.8730875,-35.1800373,1977,Score 5,y,"barbecue space,gym",120000
1665,123,4,3,0,2,3,apartment,-5.8437235,-35.2214483,2003,Score 6,no,,595000
2699,60,2,2,550,1,1,apartment,-5.8821365,-35.1722172,2004,Score 4,y,"PLAYGROUND,sports court",280000
2282,103,5,3,450,2,3,apartment,-5.8437235,-35.2214483,,Score 6,Yes,playground,430000
4022,180,2,3,0,2,2,house,-5.8226937,-35.2126403,,Score 5,Yes,,420000
2881,118,2,3,0,2,2,apartment,-5.8226937,-35.2126403,,Score 5,no,,580000
4140,190,1,3,0,2,1,house,-5.8576398,-35.2014489,2000,Score 6,Yes,,320000
3970,140,1,3,0,2,1,apartment,-5.8032096,-35.2002054,1991,Score 5,No,,290000
4139,70,1,3,0,2,0,house,-5.7372347,-35.2360433,,Score 6,Yes,,85000
2512,130,2,3,0,2,2,apartment,-5.8032096,-35.2002054,2005,Score 5,y,,850000
157,180,2,3,920,1,1,apartment,-5.7978488,-35.2092207,,Score 5,y,"PLAYGROUND,SPORTS COURT",300000
4451,57,2,2,270,0,0,apartment,-5.8633093,-35.2324324,2002,Score 6,yes,"BARBECUE SPACE,PLAYGROUND",195000
881,101,3,3,580,2,1,apartment,-5.8999907,-35.1759866,1984,Score 2,no,"POOL,PLAYGROUND",630000
3143,97,2,3,0,2,1,apartment,-5.8576398,-35.2014489,,Score 5,Yes,,450000
1632,165,4,3,1400,2,3,apartment,-5.8032096,-35.2002054,2003,Score 6,yes,"barbecue space,gym,PLAYGROUND,SPORTS COURT",600000
3978,130,5,3,810,2,3,apartment,-5.8173131,-35.2226992,1979,Score 5,nop,PLAYGROUND,749900
2696,34,1,1,120,1,0,other,-5.8689192,-35.1868028,2008,Score 9,y,,155000
3652,54,1,2,0,1,1,apartment,-5.8183494,-35.2088601,,Score 5,yes,,215000
2011,94,4,3,505,2,1,apartment,-5.8640599,-35.196594,,Score 8,y,"BARBECUE SPACE,GYM,playground",425000
3563,75,2,3,0,2,1,apartment,-5.7775126,-35.2013557,,Score 5,no,,240000
3705,56,2,2,325,1,1,apartment,-5.8502894,-35.2166072,2001,Score 4,nop,BARBECUE SPACE,240000
4383,80,2,3,500,2,1,apartment,-5.8198444,-35.2109804,,Score 5,yes,"POOL,barbecue space,PLAYGROUND,sports court",350000
350,98,4,3,631,2,3,apartment,-5.8576398,-35.2014489,2003,Score 4,Yes,"POOL,BARBECUE SPACE,GYM",390000
3869,68,2,2,330,2,1,apartment,-5.8576398,-35.2014489,,Score 5,yes,,372600
4700,60,1,2,0,1,1,apartment,-5.8821365,-35.1722172,,Score 5,no,barbecue space,245000
2748,57,1,2,270,1,1,apartment,-5.8640599,-35.196594,1984,Score 5,Yes,"BARBECUE SPACE,playground,sports court",245000
393,65,1,2,0,1,0,apartment,-5.8576398,-35.2014489,,Score 5,no,,160000
964,105,3,3,800,2,1,apartment,-5.8500439,-35.2153249,1992,Score 6,no,,260000
1697,86,2,3,0,2,1,apartment,-5.8163039,-35.2204887,,Score 4,Yes,,398000
1598,80,2,3,350,1,0,apartment,-5.7978488,-35.2092207,1960,Score 6,nop,,130000
3731,75,2,3,305,2,1,apartment,-5.7775126,-35.2013557,2004,Score 3,yes,PLAYGROUND,250000
1995,56,1,1,0,1,1,apartment,-5.7840027,-35.1946003,,Score 6,yes,,150000
996,197,0,3,0,2,0,other,-5.7997946,-35.1979747,1982,Score 5,yes,BARBECUE SPACE,325000
3589,137,2,3,700,2,2,apartment,-5.8226937,-35.2126403,,Score 9,yes,"pool,barbecue space,playground",425000
2004,55,2,2,200,2,1,apartment,-5.8576398,-35.2014489,1972,Score 4,no,,305500
3168,57,2,2,450,1,1,apartment,-5.8821365,-35.1722172,2002,Score 4,yes,"PLAYGROUND,sports court",240000
4346,136,5,3,850,3,3,apartment,-5.8183494,-35.2088601,2001,Score 4,y,gym,830000
2916,277,1,3,0,2,0,house,-5.7845495,-35.1984438,1993,Score 5,yes,,550000
2895,55,1,2,410,1,1,apartment,-5.8143778,-35.2089333,,Score 5,y,"POOL,playground",160000
1204,54,2,2,260,2,1,apartment,-5.8821365,-35.1722172,2004,Score 5,Yes,sports court,280000
1770,54,1,2,330,1,1,apartment,-5.8226937,-35.2126403,,Score 4,y,,280000
4545,48,1,2,700,1,0,apartment,-5.8821365,-35.1722172,1963,Score 7,Yes,"BARBECUE SPACE,gym",280000
1371,156,1,3,900,2,1,apartment,-5.890275,-35.175139,2005,Score 6,yes,"pool,barbecue space,PLAYGROUND,SPORTS COURT",420000
2145,58,1,2,225,0,1,apartment,-5.8821365,-35.1722172,1975,Score 5,nop,"barbecue space,playground,SPORTS COURT",179000
4371,108,2,3,540,2,2,apartment,-5.8152068,-35.2147971,2003,Score 6,no,PLAYGROUND,478000
501,56,2,2,348,1,1,apartment,-5.7845495,-35.1984438,1975,Score 4,yes,"playground,sports court",220000
633,135,4,3,700,3,3,apartment,-5.8165334,-35.2224341,,Score 5,yes,"pool,gym,PLAYGROUND",829000
3485,103,4,3,550,2,3,apartment,-5.8198444,-35.2109804,,Score 4,yes,"POOL,PLAYGROUND,SPORTS COURT",420000
3663,250,2,3,0,2,2,apartment,-5.7978488,-35.2092207,2007,Score 6,yes,,480000
721,55,2,2,365,1,1,apartment,-5.8109156,-35.2348455,,Score 4,no,"POOL,BARBECUE SPACE,sports court",180000
2815,75,2,3,330,2,1,apartment,-5.7775126,-35.2013557,,Score 4,yes,"barbecue space,playground,sports court",260000
1157,52,2,2,370,1,1,apartment,-5.8250648,-35.235023,2002,Score 5,y,"POOL,PLAYGROUND,sports court",190000
2302,38,1,1,0,1,1,other,-5.783788,-35.1913745,,Score 6,yes,,180000
4319,44,1,1,1200,1,0,apartment,-5.7845495,-35.1984438,2006,Score 5,no,"POOL,BARBECUE SPACE,PLAYGROUND",265000
4731,130,4,3,750,2,2,apartment,-5.790886,-35.2023866,,Score 4,No,"POOL,playground",850000
2948,108,3,3,680,2,3,apartment,-5.8226937,-35.2126403,1975,Score 4,no,"POOL,barbecue space,gym",440000
655,45,1,1,1123,1,1,other,-5.7823372,-35.1946781,2009,Score 4,y,,260000
491,60,2,2,345,2,1,apartment,-5.7782925,-35.2006658,,Score 4,y,,255000
1643,56,1,2,200,1,0,apartment,-5.8855448,-35.1775819,2006,Score 4,Yes,,150000
26,98,3,3,600,3,1,apartment,-5.7844356,-35.2018859,,Score 4,yes,"BARBECUE SPACE,playground",449000
322,57,2,2,360,1,1,apartment,-5.8373477,-35.2195174,1974,Score 6,No,SPORTS COURT,300000
4054,75,2,3,450,2,1,apartment,-5.8477276,-35.2130915,,Score 4,yes,"barbecue space,playground",195000
1485,108,2,2,580,2,2,apartment,-5.8152068,-35.2147971,2004,Score 4,yes,"POOL,BARBECUE SPACE,playground,sports court",450000
3423,161,2,2,285,2,1,apartment,-5.8186892,-35.2401631,,Score 4,Yes,"barbecue space,playground,sports court",432500
4248,214,3,3,1500,0,3,apartment,-5.8044476,-35.2032196,,Score 4,y,"barbecue space,STEAM ROOM,gym,PLAYGROUND",550000
3885,69,2,2,0,2,1,apartment,-5.8627911,-35.1994162,,Score 8,Yes,,325000
3197,75,1,3,600,2,1,apartment,-5.8603397,-35.2094385,2006,Score 4,y,"PLAYGROUND,SPORTS COURT",280000
2857,57,2,2,437,2,1,apartment,-5.8600136,-35.1998189,1964,Score 6,Yes,BARBECUE SPACE,319000
1909,84,2,3,300,2,1,apartment,-5.8796695,-35.1973555,1973,Score 5,y,,300000
3692,70,1,3,450,1,1,apartment,-5.7856388,-35.20926,,Score 3,y,"POOL,PLAYGROUND",220000
4123,100,1,3,0,2,1,apartment,-5.8226937,-35.2126403,,Score 5,Yes,,260000
416,112,3,2,0,2,2,apartment,-5.7997946,-35.1979747,1972,Score 5,yes,,560000
2742,60,2,2,310,0,1,apartment,-5.8821365,-35.1722172,,Score 6,No,playground,250000
4479,180,3,4,0,2,2,house,-5.8032096,-35.2002054,,Score 6,yes,BARBECUE SPACE,600000
2146,56,2,2,280,0,0,apartment,-5.8633093,-35.2324324,1998,Score 5,Yes,"barbecue space,playground",215000
751,25,1,1,700,1,1,other,-5.8730875,-35.1800373,1992,Score 4,Yes,"GYM,playground",105000
3344,122,3,3,0,3,3,apartment,-5.8032096,-35.2002054,1966,Score 7,yes,,475900
2458,76,2,3,450,2,1,apartment,-5.8600136,-35.1998189,2003,Score 7,y,"barbecue space,playground",290000
4005,101,3,3,600,2,3,apartment,-5.8032013,-35.2126321,1988,Score 2,no,GYM,500000
4436,106,1,2,500,1,1,apartment,-5.8352533,-35.2143381,,Score 3,no,PLAYGROUND,150000
879,78,2,1,880,0,1,other,-5.8730875,-35.1800373,,Score 8,Yes,PLAYGROUND,200000
4575,56,0,2,300,0,0,apartment,-5.8633093,-35.2324324,,Score 4,no,"BARBECUE SPACE,playground",250000
1756,56,2,2,250,1,1,apartment,-5.8811944,-35.1787182,1961,Score 4,yes,,180000
472,75,2,3,300,2,1,apartment,-5.7845495,-35.1984438,2005,Score 7,y,,270000
1564,40,1,1,0,0,1,apartment,-5.8107808,-35.2108587,1999,Score 4,Yes,,218000
3958,43,1,1,1300,1,1,other,-5.7840027,-35.1946003,,Score 8,yes,"STEAM ROOM,GYM",250000
429,56,2,2,280,0,1,apartment,-5.8431967,-35.2124468,,Score 3,No,"BARBECUE SPACE,playground,SPORTS COURT",240000
3077,62,2,3,0,1,1,apartment,-5.8197113,-35.2206827,,Score 7,Yes,,260000
4328,78,3,3,0,2,1,apartment,-5.8198444,-35.2109804,,Score 4,No,,350000
3401,66,2,3,0,2,1,apartment,-5.8576398,-35.2014489,2002,Score 4,No,,299000
2267,55,2,2,400,1,1,apartment,-5.8143778,-35.2089333,1971,Score 5,nop,"POOL,BARBECUE SPACE,playground,sports court",230000
297,112,4,3,560,2,2,apartment,-5.8032096,-35.2002054,1988,Score 4,y,"PLAYGROUND,sports court",610000
100,109,4,4,0,3,3,apartment,-5.8290987,-35.221223,1995,Score 6,No,,600000
486,58,2,2,340,1,1,apartment,-5.8666079,-35.2088062,1994,Score 5,Yes,barbecue space,240000
69,101,2,3,425,2,1,apartment,-5.8666079,-35.2088062,1989,Score 5,yes,"POOL,PLAYGROUND,SPORTS COURT",327690
1144,55,2,2,0,0,0,apartment,-5.8226937,-35.2126403,,Score 5,Yes,,230000
969,86,3,3,690,2,1,apartment,-5.8855448,-35.1775819,,Score 3,Yes,"barbecue space,PLAYGROUND",330000
2727,135,3,3,860,2,1,apartment,-5.8165259,-35.2141266,2001,Score 4,Yes,"pool,playground",370000
1090,35,1,1,200,1,0,apartment,-5.8821365,-35.1722172,1992,Score 6,Yes,,220000
3553,92,3,3,500,2,1,apartment,-5.8263268,-35.2100174,,Score 4,y,"PLAYGROUND,SPORTS COURT",580000
4284,71,2,3,0,2,1,apartment,-5.8250648,-35.235023,,Score 5,no,,282454
4016,98,3,3,525,1,1,apartment,-5.8226937,-35.2126403,1968,Score 5,Yes,"BARBECUE SPACE,playground",270000
4189,120,3,3,0,2,1,house,-5.8633093,-35.2324324,1998,Score 5,Yes,,370000
2463,200,1,3,900,2,1,apartment,-5.7845495,-35.1984438,2001,Score 5,no,"BARBECUE SPACE,GYM,playground",480000
999,86,2,3,250,2,1,apartment,-5.8292546,-35.193081,,Score 5,nop,"BARBECUE SPACE,PLAYGROUND,SPORTS COURT",155000
2351,138,2,4,0,1,1,house,-5.7972181,-35.2316702,1987,Score 5,Yes,,260000
12,58,2,2,600,2,1,apartment,-5.8196922,-35.2169549,1973,Score 5,Yes,"PLAYGROUND,sports court",260000
1921,158,4,3,0,3,3,apartment,-5.8152068,-35.2147971,1993,Score 5,yes,,800000
2042,54,2,2,490,1,1,apartment,-5.8821365,-35.1722172,,Score 4,yes,"barbecue space,PLAYGROUND,sports court",235000
2452,56,2,1,664,1,1,apartment,-5.8730875,-35.1800373,1968,Score 5,yes,playground,480000
810,72,2,3,0,1,1,apartment,-5.8636826,-35.2153349,,Score 4,no,,300000
765,160,5,4,750,3,3,apartment,-5.8164277,-35.2116397,,Score 5,no,PLAYGROUND,850000
227,75,1,3,0,2,1,apartment,-5.7767142,-35.2062156,1973,Score 4,No,barbecue space,250000
1732,76,2,2,300,1,1,apartment,-5.8269204,-35.1985475,2006,Score 4,Yes,playground,295000
471,75,1,2,660,1,0,apartment,-5.8032096,-35.2002054,2004,Score 3,nop,"barbecue space,gym,SPORTS COURT",230000
4732,98,3,3,450,2,1,apartment,-5.8088697,-35.199618,,Score 3,yes,playground,550000
230,240,2,4,0,2,0,house,-5.8226937,-35.2126403,1966,Score 4,y,,350000
4169,125,3,3,1300,3,1,apartment,-5.8053683,-35.2050354,,Score 5,Yes,"BARBECUE SPACE,gym",550000
1101,96,3,3,550,2,1,apartment,-5.8032096,-35.2002054,2000,Score 4,y,"barbecue space,playground",650000
705,79,1,3,826,1,1,apartment,-5.8437235,-35.2214483,1970,Score 4,no,playground,170000
3930,57,1,1,450,1,1,apartment,-5.8143778,-35.2089333,1989,Score 5,Yes,"barbecue space,playground,sports court",195000
1489,102,1,3,835,2,1,apartment,-5.8226937,-35.2126403,,Score 6,y,"GYM,playground",360000
1479,209,5,4,495,2,0,house,-5.8712248,-35.2266072,1996,Score 6,yes,"BARBECUE SPACE,PLAYGROUND",800000
877,55,2,2,326,1,1,apartment,-5.8198444,-35.2109804,,Score 5,y,BARBECUE SPACE,229900
2464,57,2,2,290,2,1,apartment,-5.8686163,-35.2305498,1991,Score 5,y,"barbecue space,playground,sports court",195000
657,89,2,2,332,1,1,apartment,-5.8437235,-35.2214483,,Score 4,no,playground,180000
1893,56,2,2,0,2,1,apartment,-5.7988797,-35.2188577,2003,Score 4,y,,240000
3002,142,3,3,0,2,3,apartment,-5.866287,-35.1917372,1998,Score 4,yes,,850000
915,140,3,3,620,2,3,apartment,-5.8032096,-35.2002054,,Score 5,No,"barbecue space,PLAYGROUND,sports court",490000
1010,20,1,1,0,1,0,apartment,-5.8730875,-35.1800373,1979,Score 4,y,BARBECUE SPACE,130000
177,86,0,3,0,2,0,apartment,-5.8226937,-35.2126403,2002,Score 5,y,,590000
2677,176,3,3,0,2,3,apartment,-5.7869014,-35.1902633,1993,Score 5,No,,550000
1812,173,2,3,0,2,1,house,-5.8126859,-35.2084239,1965,Score 5,Yes,,500000
4769,161,2,4,900,2,2,apartment,-5.8032096,-35.2002054,1968,Score 6,y,"pool,BARBECUE SPACE,GYM,playground",520000
79,55,1,2,0,1,1,apartment,-5.8821365,-35.1722172,,Score 4,Yes,,350000
3135,90,2,3,630,2,1,apartment,-5.8010185,-35.2078485,,Score 4,nop,"gym,PLAYGROUND,SPORTS COURT",299000
4052,190,1,3,0,2,1,apartment,-5.8032096,-35.2002054,,Score 4,yes,,650000
2476,145,5,3,800,2,3,apartment,-5.8198444,-35.2109804,,Score 5,yes,"POOL,PLAYGROUND,sports court",780000
3555,202,4,3,1200,3,2,apartment,-5.8226937,-35.2126403,1998,Score 4,Yes,"POOL,playground,SPORTS COURT",735000
1616,96,3,3,0,2,1,apartment,-5.8253734,-35.2113637,1995,Score 8,y,,180000
1769,57,2,2,550,1,1,apartment,-5.8032096,-35.2002054,1995,Score 5,yes,"BARBECUE SPACE,GYM,playground,SPORTS COURT",250000
681,89,3,3,442,2,1,apartment,-5.8768735,-35.2236066,1968,Score 8,nop,"POOL,playground",360000
3064,90,2,3,450,1,1,apartment,-5.8477276,-35.2130915,,Score 7,yes,"POOL,PLAYGROUND",210000
